Range,Device,Reason
2020-10-08 - 2020-12-08,INV 1.06,Waiting for Sungrow parts
2020-10-15 - 2020-10-30,INVs 4.01/4.08,Waiting for Sungrow parts
2020-10-16 0 2020-11-06,INV 1.13,Waiting for warranty replacement
2021-01-11 - 2021-02-01,INV 9.11,Waiting for Sungrow parts
2021-07-06 - 2021-07-22,INV 5.14,Waiting for Sungrow parts
2022-09-14 - 2022-10-21,INV 1.03,Waiting for breaker replacement
2022-09-14 - 2022-10-21,INV 1.10,Waiting for breaker replacement
2023-04-03 - 2023-04-21,INV 5.01,Awaiting RMA
2023-06-22 - 2023-08-14,INV 8.08,Waiting for breaker procurement
